State,District,Crop,Season,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
JH,BOKARO,Arhar/Tur,Kharif,1.7213740458015268,1.56,3.5652173913043477,1.6140350877192982,3.3703703703703702,2.475,3.8275862068965516,0.7906197654941374,,,
JH,CHATRA,Arhar/Tur,Kharif,1.1724479682854312,1.3982869379014988,2.101433296582139,2.2043343653250775,2.2291421856639246,1.8882521489971347,1.2746478873239437,1.250028791892203,,,
JH,DEOGHAR,Arhar/Tur,Kharif,1.2857142857142858,2.3333333333333335,2.6470588235294117,1.7647058823529411,2.1875,,,0.7500810898475511,,,
JH,DHANBAD,Arhar/Tur,Kharif,0.6,,2,,,,,1.1998341625207296,,,
JH,DUMKA,Arhar/Tur,Kharif,0.993854748603352,2.195530726256983,1.4527363184079602,1.6205211726384365,2.5248091603053435,2.575107296137339,1.9165120593692022,0.7649958915365653,,,
JH,EAST SINGHBUM,Arhar/Tur,Kharif,1.3205128205128205,1.2439024390243902,1.4406779661016949,1.6153846153846154,1.8241758241758241,1.588235294117647,1.5,1.0500101030511215,,,
JH,GARHWA,Arhar/Tur,Kharif,1.0200644042605895,1.0679353386535706,1.95288912024987,1.1649638674308498,2.5809167446211414,1.251131221719457,2.22890654559213,0.5585766075176493,,,
JH,GIRIDIH,Arhar/Tur,Kharif,1.4242424242424243,1.726027397260274,1.5161290322580645,1.6022727272727273,1.8181818181818181,1.5412844036697249,1.2714285714285714,1.525,,,
JH,GODDA,Arhar/Tur,Kharif,1.8616666666666666,1.7738095238095237,1.8712871287128714,1.6218905472636815,1.8164556962025316,1.6494845360824741,1.8650306748466257,1,,,
JH,GUMLA,Arhar/Tur,Kharif,0.8305555555555556,1.1705963938973647,1.410411622276029,1.0390720390720392,1.482466747279323,1.6139896373056994,1.0331491712707181,1.5839744143832657,,,
JH,HAZARIBAGH,Arhar/Tur,Kharif,1.6765676567656767,2.009584664536741,1.7095588235294117,2.1634146341463416,1.7569620253164557,1.5054545454545454,1.2733188720173536,1.2,,,
JH,JAMTARA,Arhar/Tur,Kharif,1.2642857142857142,0.725,0.6744186046511628,0.6666666666666666,0.5652173913043478,0.6666666666666666,0.76,1.3095890410958904,,,
JH,KHUNTI,Arhar/Tur,Kharif,1.2595936794582392,1.2076069730586372,1.4063545150501673,1.0778145695364238,1.7107142857142856,1.0913461538461537,1.3109919571045576,1.0050561797752808,,,
JH,KODERMA,Arhar/Tur,Kharif,1.546875,1.5549132947976878,0.9636363636363636,4.368098159509202,1.6971830985915493,1.8258426966292134,0.9714285714285714,0.8,,,
JH,LATEHAR,Arhar/Tur,Kharif,1.18125,1.9718934911242603,1.9562289562289563,1.1387665198237886,1.2292118582791034,0.9291983616149795,1.6809192944949225,1.5320068071737138,,,
JH,LOHARDAGA,Arhar/Tur,Kharif,1.5207823960880196,1.6777777777777778,1.470449172576832,1.3485342019543973,0.9578313253012049,1.2386117136659436,1.4516129032258065,1.0500647388864912,,,
JH,PAKUR,Arhar/Tur,Kharif,1.3013333333333332,1.4096774193548387,1.4218181818181819,1.260377358490566,1.509009009009009,2.0081521739130435,1.8646616541353382,0.774987629886195,,,
JH,PALAMU,Arhar/Tur,Kharif,1.416908412764194,2.0280413240565043,2.105089710728671,1.3549961861174675,0.9960122414912362,1.024024752775587,2.186004612280196,0.904006294669202,,,
JH,RAMGARH,Arhar/Tur,Kharif,1.8976377952755905,1.490909090909091,1.3944954128440368,1.912751677852349,2.3149717514124295,1.4137931034482758,1.2608695652173914,1.2,,,
JH,RANCHI,Arhar/Tur,Kharif,1.1620111731843576,1.987711213517665,2.4660550458715598,2.6021409455842996,2.4233009708737865,1.9891186071817193,1.5772357723577235,0.7999714856002281,,,
JH,SAHEBGANJ,Arhar/Tur,Kharif,1.6867924528301887,2.0805860805860807,1.5144356955380578,1.3928571428571428,1.4210526315789473,0.9351032448377581,1.8662952646239555,0.4440469536053661,,,
JH,SARAIKELA KHARSAWAN,Arhar/Tur,Kharif,1.3289473684210527,1.2372881355932204,1.4482758620689655,0.0898876404494382,1.8214285714285714,1.4615384615384615,1.5454545454545454,1.5999585663973483,,,
JH,SIMDEGA,Arhar/Tur,Kharif,1.1519337016574585,1.956268221574344,2.005524861878453,2.3684210526315788,1.9152542372881356,1.3170731707317074,2.9653179190751446,1.5,,,
JH,WEST SINGHBHUM,Arhar/Tur,Kharif,1.3232323232323233,1.2463054187192117,1.4422110552763818,2.225705329153605,1.6713426853707414,1.448051948051948,1.5714285714285714,0.9900271985494107,,,
JH,BOKARO,Bajra,Kharif,,,,,,,,0.325,,,
JH,DHANBAD,Bajra,Kharif,,,,,,,,0.5714285714285714,,,
JH,DUMKA,Bajra,Kharif,,,,,,,,0.7619047619047619,,,
JH,EAST SINGHBUM,Bajra,Kharif,,,,,,,,0.5405405405405406,,,
JH,GIRIDIH,Bajra,Kharif,,,,,,,,1,,,
JH,SAHEBGANJ,Bajra,Kharif,,,,,,,,0.6923076923076923,,,
JH,SARAIKELA KHARSAWAN,Bajra,Kharif,,,,,,,,0.6964285714285714,,,
JH,SIMDEGA,Bajra,Kharif,,,,,,,,0.75,,,
JH,WEST SINGHBHUM,Bajra,Kharif,,,,,,,,0.4166666666666667,,,
JH,BOKARO,Castor seed,Kharif,,,,,,,,0.1,,,
JH,DEOGHAR,Castor seed,Kharif,,,,,,,,0.4,,,
JH,DUMKA,Castor seed,Kharif,,,,,,,,0.5,,,
JH,EAST SINGHBUM,Castor seed,Kharif,,,,,,,,0.5,,,
JH,PALAMU,Castor seed,Kharif,,,,,,,,1,,,
JH,SIMDEGA,Castor seed,Kharif,,,,,,,,0.4,,,
JH,BOKARO,Gram,Rabi,0.4473684210526316,0.84,1.3793103448275863,1.2307692307692308,1.511111111111111,1.2708333333333333,1.2258064516129032,1.3690140845070422,,,
JH,CHATRA,Gram,Rabi,0.41484375,1.0232209737827715,1.4183757178014766,1.6602076124567473,1.022167487684729,0.8717201166180758,1.3790170132325141,1.1599747474747475,,,
JH,DEOGHAR,Gram,Rabi,0.8867313915857605,0.8380952380952381,1.273972602739726,0.8767123287671232,0.8313953488372093,0.9428571428571428,1.1111111111111112,1.4500620347394542,,,
JH,DHANBAD,Gram,Rabi,0.04,1,1.1666666666666667,1,1,,1,1.499065808594561,,,
JH,DUMKA,Gram,Rabi,0.6448275862068965,0.7037671232876712,0.5078909612625538,0.9869942196531792,1.2914862914862915,0.9384384384384384,1.391304347826087,1.383973063973064,,,
JH,EAST SINGHBUM,Gram,Rabi,0.6071428571428571,0.6764705882352942,0.7407407407407407,0.8404255319148937,0.74,0.8209876543209876,1.6875,0.868,,,
JH,GARHWA,Gram,Rabi,0.5848421052631579,0.8240030674846626,1.0589327146171694,1.0680360959392068,0.7749354611593523,0.8661157024793389,1.810917393109174,0.8199698568198945,,,
JH,GIRIDIH,Gram,Rabi,0.46959459459459457,4.090909090909091,0.945054945054945,0.9703389830508474,0.6130536130536131,0.7379926599648955,0.680023484514898,1.5180161085205595,,,
JH,GODDA,Gram,Rabi,0.8521739130434782,0.820627802690583,0.9820459290187892,0.9710185314198133,0.49704244954766874,0.8519604816301327,0.5540058384690236,1.2600505156809092,,,
JH,GUMLA,Gram,Rabi,0.5147540983606558,0.7222222222222222,0.978319783197832,1.151761517615176,1.0330788804071247,0.7480519480519481,1.4090415913200722,1.512007430011941,,,
JH,HAZARIBAGH,Gram,Rabi,0.8180645161290323,1.096816976127321,1.106733524355301,1.3303121852970796,1.0566037735849056,1.1503030303030304,0.799469964664311,1.5,,,
JH,JAMTARA,Gram,Rabi,0.76,0.5,0.6153846153846154,0.48148148148148145,0.4827586206896552,0.6666666666666666,0.20512820512820512,0.8,,,
JH,KHUNTI,Gram,Rabi,0.7393617021276596,0.6157205240174672,1.0223880597014925,0.8257261410788381,0.7130044843049327,0.7798566878980892,1.2228144989339018,1.5,,,
JH,KODERMA,Gram,Rabi,0.532051282051282,1.2827004219409284,1,1.125,1.0880503144654088,1.106951871657754,1.3838383838383839,1.5,,,
JH,LATEHAR,Gram,Rabi,0.5185185185185185,0.9609665427509294,0.8269525267993875,0.6706081081081081,0.6751054852320675,0.7516629711751663,0.949171270718232,0.628021978021978,,,
JH,LOHARDAGA,Gram,Rabi,0.7547169811320755,1.016,0.8297101449275363,0.9475138121546961,0.7073170731707317,0.8591160220994475,0.8206686930091185,0.9899862825788752,,,
JH,PAKUR,Gram,Rabi,0.819327731092437,0.8298279158699808,0.8350100603621731,0.8260869565217391,0.6145833333333334,0.9287941787941788,0.9731182795698925,0.9599782490483959,,,
JH,PALAMU,Gram,Rabi,0.7279534109816972,1.0110899873257289,1.0839495885845225,1.0599875026036243,0.84193642461359,0.8369788519637462,1.0629668229980893,0.8049873737373737,,,
JH,RAMGARH,Gram,Rabi,0.8617021276595744,0.8170731707317073,2.4,0.8528111181301327,1.2661498708010337,0.9226804123711341,0.8596491228070176,1.5000511299723898,,,
JH,RANCHI,Gram,Rabi,0.9823529411764705,1.0588235294117647,1.0483193277310925,1.379876796714579,1.0647948164146868,0.937046004842615,1.1649645560495014,1.1,,,
JH,SAHEBGANJ,Gram,Rabi,0.9386590584878745,0.9083969465648855,0.9281325140261822,0.8508030431107354,0.9578284052350945,0.9229878401852925,0.9327731092436975,1.0100298762270594,,,
JH,SARAIKELA KHARSAWAN,Gram,Rabi,0.5686274509803921,0.7064220183486238,0.7959183673469388,0.7305699481865285,0.6013745704467354,0.8458244111349036,1.4666666666666666,1.7,,,
JH,SIMDEGA,Gram,Rabi,0.32682926829268294,0.8,0.7317073170731707,0.8493150684931506,0.7623762376237624,0.825,1.2254901960784315,1.625043357613597,,,
